,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2023-01-03,172.87,172.87,169.4,170.94,170.94,978815,0.0000,1.0,Electronic_Equipment
2023-01-04,172.81,174.03,168.92,170.49,170.49,687829,0.0000,1.0,Electronic_Equipment
2023-01-05,169.14,170.39,167.81,168.87,168.87,791953,0.0000,1.0,Electronic_Equipment
2023-01-06,171.42,176.405,170.29,175.42,175.42,701099,0.0000,1.0,Electronic_Equipment
2023-01-09,177.28,180.615,175.98,176.61,176.61,1264195,0.0000,1.0,Electronic_Equipment
2023-01-10,177.24,178.4695,175.845,178.01,178.01,1085582,0.0000,1.0,Electronic_Equipment
2023-01-11,175.91,179.45,174.69,179.44,179.44,904862,0.0000,1.0,Electronic_Equipment
2023-01-12,179.37,180.5,177.635,177.92,177.92,668126,0.0000,1.0,Electronic_Equipment
2023-01-13,177.16,180.9,177.16,180.61,180.61,953490,0.0000,1.0,Electronic_Equipment
2023-01-17,180.98,185.8,180.61,184.96,184.96,1507965,0.0000,1.0,Electronic_Equipment
2023-01-18,186.02,188.01,181.26,181.49,181.49,1147402,0.0000,1.0,Electronic_Equipment
2023-01-19,180.43,181.34,176.2,176.72,176.72,1099552,0.0000,1.0,Electronic_Equipment
2023-01-20,177.11,179.27,176.0,178.92,178.92,1015431,0.0000,1.0,Electronic_Equipment
2023-01-23,178.77,181.9599,177.75,180.55,180.55,1008297,0.0000,1.0,Electronic_Equipment
2023-01-24,180.55,181.72,178.92,180.21,180.21,594019,0.0000,1.0,Electronic_Equipment
2023-01-25,177.71,180.89,175.85,180.85,180.85,1040462,0.0000,1.0,Electronic_Equipment
2023-01-26,181.47,182.33,179.06,180.06,180.06,1051566,0.0000,1.0,Electronic_Equipment
2023-01-27,178.81,179.84,177.24,177.45,177.45,1182424,0.0000,1.0,Electronic_Equipment
2023-01-30,176.13,177.79,175.535,176.91,176.91,1116904,0.0000,1.0,Electronic_Equipment
2023-01-31,177.34,179.44,176.72,179.35,179.35,1001533,0.0000,1.0,Electronic_Equipment
2023-02-01,178.22,180.48,175.98,179.49,179.49,1148315,0.0000,1.0,Electronic_Equipment
2023-02-02,181.49,183.554,179.72,182.18,182.18,1133636,0.0000,1.0,Electronic_Equipment
2023-02-03,180.29,184.61,180.29,181.4,181.4,708387,0.0000,1.0,Electronic_Equipment
2023-02-06,179.62,180.86,178.56,179.23,179.23,875403,0.0000,1.0,Electronic_Equipment
