,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,60.0,60.73,58.84,59.88,59.88,799149,0.0000,1.0,Marine_Transportation
2022-01-04,59.96,61.32,59.12,60.92,60.92,1390979,0.0000,1.0,Marine_Transportation
2022-01-05,61.33,63.78,61.145,62.54,62.54,1720884,0.0000,1.0,Marine_Transportation
2022-01-06,63.86,63.94,62.26,63.68,63.68,523539,0.0000,1.0,Marine_Transportation
2022-01-07,64.08,64.69,63.42,63.66,63.66,616114,0.0000,1.0,Marine_Transportation
2022-01-10,63.73,63.99,62.15,63.4,63.4,717006,0.0000,1.0,Marine_Transportation
2022-01-11,63.58,64.17,62.8,63.97,63.97,271700,0.0000,1.0,Marine_Transportation
2022-01-12,63.9,64.31,63.64,63.88,63.88,229480,0.0000,1.0,Marine_Transportation
2022-01-13,64.0,66.19,63.8,65.35,65.35,435466,0.0000,1.0,Marine_Transportation
2022-01-14,64.9,66.99,64.25,66.93,66.93,552649,0.0000,1.0,Marine_Transportation
2022-01-18,66.38,66.97,66.09,66.63,66.63,547635,0.0000,1.0,Marine_Transportation
2022-01-19,66.95,66.95,65.38,65.91,65.91,376365,0.0000,1.0,Marine_Transportation
2022-01-20,66.1,66.94,64.83,64.96,64.96,499162,0.0000,1.0,Marine_Transportation
2022-01-21,64.24,64.4,62.4,62.41,62.41,749998,0.0000,1.0,Marine_Transportation
2022-01-24,61.32,63.22,59.83,63.04,63.04,543227,0.0000,1.0,Marine_Transportation
2022-01-25,62.34,62.983,60.715,62.52,62.52,517476,0.0000,1.0,Marine_Transportation
2022-01-26,63.03,63.485,61.02,62.03,62.03,564254,0.0000,1.0,Marine_Transportation
2022-01-27,62.71,68.35,62.71,64.01,64.01,738602,0.0000,1.0,Marine_Transportation
2022-01-28,65.0,66.395,64.57,65.99,65.99,750637,0.0000,1.0,Marine_Transportation
2022-01-31,65.51,66.12,64.5,65.18,65.18,649693,0.0000,1.0,Marine_Transportation
2022-02-01,65.28,66.27,65.28,65.9,65.9,473374,0.0000,1.0,Marine_Transportation
2022-02-02,65.28,66.14,64.45,64.51,64.51,339504,0.0000,1.0,Marine_Transportation
2022-02-03,64.79,65.2,64.015,64.58,64.58,279494,0.0000,1.0,Marine_Transportation
2022-02-04,64.51,65.72,63.76,65.07,65.07,356651,0.0000,1.0,Marine_Transportation
2022-02-07,64.82,65.1,63.78,63.91,63.91,312930,0.0000,1.0,Marine_Transportation
2022-02-08,64.37,64.53,63.11,63.6,63.6,452168,0.0000,1.0,Marine_Transportation
2022-02-09,64.36,65.085,63.25,63.73,63.73,354526,0.0000,1.0,Marine_Transportation
2022-02-10,63.41,64.78,62.69,63.0,63.0,816695,0.0000,1.0,Marine_Transportation
2022-02-11,63.35,64.08,62.6,63.43,63.43,598664,0.0000,1.0,Marine_Transportation
2022-02-14,63.14,63.93,62.52,63.42,63.42,302404,0.0000,1.0,Marine_Transportation
2022-02-15,63.88,65.49,63.88,65.25,65.25,378310,0.0000,1.0,Marine_Transportation
2022-02-16,65.08,68.12,64.72,67.81,67.81,847557,0.0000,1.0,Marine_Transportation
2022-02-17,67.65,67.8,66.33,67.0,67.0,471909,0.0000,1.0,Marine_Transportation
2022-02-18,66.67,67.32,65.97,66.83,66.83,418318,0.0000,1.0,Marine_Transportation
2022-02-22,67.21,67.24,65.69,66.0,66.0,523159,0.0000,1.0,Marine_Transportation
2022-02-23,66.37,66.95,63.51,63.65,63.65,498268,0.0000,1.0,Marine_Transportation
2022-02-24,62.25,64.15,61.46,64.03,64.03,443960,0.0000,1.0,Marine_Transportation
2022-02-25,64.46,65.0,63.88,64.6,64.6,527134,0.0000,1.0,Marine_Transportation
2022-02-28,63.71,65.19,63.2,65.15,65.15,534718,0.0000,1.0,Marine_Transportation
2022-03-01,65.01,65.4934,63.085,63.79,63.79,537605,0.0000,1.0,Marine_Transportation
2022-03-02,64.0,66.0,64.0,65.72,65.72,335472,0.0000,1.0,Marine_Transportation
2022-03-03,66.2,67.62,65.97,67.58,67.58,414903,0.0000,1.0,Marine_Transportation
2022-03-04,66.99,70.77,66.74,69.84,69.84,1224692,0.0000,1.0,Marine_Transportation
2022-03-07,69.5,72.73,67.47,68.95,68.95,821427,0.0000,1.0,Marine_Transportation
2022-03-08,69.0,70.755,67.29,70.2,70.2,1067543,0.0000,1.0,Marine_Transportation
2022-03-09,70.7,71.99,69.615,71.3,71.3,1092071,0.0000,1.0,Marine_Transportation
2022-03-10,71.27,74.2,71.27,73.27,73.27,685550,0.0000,1.0,Marine_Transportation
2022-03-11,73.51,75.08,72.47,72.59,72.59,601477,0.0000,1.0,Marine_Transportation
2022-03-14,72.18,72.495,68.285,68.87,68.87,772311,0.0000,1.0,Marine_Transportation
2022-03-15,68.75,69.3,66.3,68.09,68.09,812349,0.0000,1.0,Marine_Transportation
2022-03-16,68.92,70.52,67.18,68.06,68.06,488934,0.0000,1.0,Marine_Transportation
2022-03-17,68.17,69.36,67.84,69.24,69.24,515992,0.0000,1.0,Marine_Transportation
2022-03-18,68.78,70.86,68.49,70.7,70.7,749583,0.0000,1.0,Marine_Transportation
2022-03-21,71.41,72.66,70.75,71.83,71.83,513945,0.0000,1.0,Marine_Transportation
2022-03-22,71.78,72.75,71.18,71.66,71.66,425657,0.0000,1.0,Marine_Transportation
2022-03-23,71.84,72.8763,71.59,72.48,72.48,361304,0.0000,1.0,Marine_Transportation
2022-03-24,72.49,72.805,71.9,72.43,72.43,241494,0.0000,1.0,Marine_Transportation
2022-03-25,72.52,73.6,72.137,73.58,73.58,350348,0.0000,1.0,Marine_Transportation
2022-03-28,73.17,73.31,72.15,73.22,73.22,419426,0.0000,1.0,Marine_Transportation
2022-03-29,72.86,75.01,71.61,74.9,74.9,663475,0.0000,1.0,Marine_Transportation
2022-03-30,74.77,75.0,73.79,74.31,74.31,376314,0.0000,1.0,Marine_Transportation
2022-03-31,73.93,74.78,72.15,72.19,72.19,438651,0.0000,1.0,Marine_Transportation
2022-04-01,72.11,73.2,70.25,70.86,70.86,727048,0.0000,1.0,Marine_Transportation
2022-04-04,70.86,70.87,69.03,69.68,69.68,493397,0.0000,1.0,Marine_Transportation
2022-04-05,70.14,71.15,67.3,67.48,67.48,820919,0.0000,1.0,Marine_Transportation
2022-04-06,67.42,67.86,65.08,65.12,65.12,929984,0.0000,1.0,Marine_Transportation
