,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,119.79,120.65,117.87,118.8,109.146078527651,785017,0.0000,1.0,Consumer_Electronics
2021-01-05,118.13,118.93,117.21,118.56,108.925581399312,715570,0.0000,1.0,Consumer_Electronics
2021-01-06,118.69,119.67,117.9205,119.48,109.770820391277,921150,0.0000,1.0,Consumer_Electronics
2021-01-07,119.77,122.75,119.65,121.56,111.681795503546,662876,0.0000,1.0,Consumer_Electronics
2021-01-08,122.44,122.935,120.7107,121.98,112.067665478139,564142,0.0000,1.0,Consumer_Electronics
2021-01-11,121.39,122.44,120.79,121.23,111.37861195208,489895,0.0000,1.0,Consumer_Electronics
2021-01-12,121.33,122.2299,120.86,122.02,112.104414999529,508800,0.0000,1.0,Consumer_Electronics
2021-01-13,122.22,122.36,120.38,120.79,110.974367216793,546362,0.0000,1.0,Consumer_Electronics
2021-01-14,122.04,122.04,120.3,120.88,111.05705363992,518113,0.0000,1.0,Consumer_Electronics
2021-01-15,120.43,121.59,119.84,121.01,111.176489584437,1004407,0.0000,1.0,Consumer_Electronics
2021-01-19,121.4,123.36,120.68,122.69,112.719969482807,687922,0.0000,1.0,Consumer_Electronics
2021-01-20,122.89,125.0,122.69,123.98,113.905141547628,708034,0.0000,1.0,Consumer_Electronics
2021-01-21,124.16,124.63,123.08,123.78,113.721393940679,481690,0.0000,1.0,Consumer_Electronics
2021-01-22,123.01,124.14,122.35,123.83,113.767330842416,462815,0.0000,1.0,Consumer_Electronics
2021-01-25,123.92,124.81,122.39,123.52,113.482522051645,504365,0.0000,1.0,Consumer_Electronics
2021-01-26,123.44,123.5,121.26,121.41,111.543984798334,479778,0.0000,1.0,Consumer_Electronics
2021-01-27,120.68,120.68,116.48,117.31,107.777158855882,775792,0.0000,1.0,Consumer_Electronics
2021-01-28,117.09,119.38,116.81,117.47,107.924156941441,621282,0.0000,1.0,Consumer_Electronics
2021-01-29,117.16,117.16,113.59,114.86,105.526250670758,1069461,0.0000,1.0,Consumer_Electronics
2021-02-01,115.195,117.57,115.12,117.36,107.823095757619,616169,0.0000,1.0,Consumer_Electronics
2021-02-02,118.41,119.29,117.67,118.87,109.210390190083,786893,0.0000,1.0,Consumer_Electronics
2021-02-03,118.55,119.65,118.12,118.94,109.274701852515,443991,0.0000,1.0,Consumer_Electronics
2021-02-04,119.5,119.99,118.55,119.27,109.577885403981,461183,0.0000,1.0,Consumer_Electronics
2021-02-05,119.87,120.94,119.44,120.33,110.55174772081,480266,0.0000,1.0,Consumer_Electronics
2021-02-08,120.36,124.98,119.79,124.14,114.052139633187,1218537,0.0000,1.0,Consumer_Electronics
2021-02-09,124.67,127.15,123.21,126.12,115.871240941981,1250911,0.0000,1.0,Consumer_Electronics
2021-02-10,127.57,129.2625,126.31,128.12,117.70871701147,997315,0.0000,1.0,Consumer_Electronics
