,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2023-01-03,65.998,66.88,63.59,64.02,64.02,46851844,0.0000,1.0,Semiconductors
2023-01-04,65.0,65.79,63.31,64.66,64.66,47477139,0.0000,1.0,Semiconductors
2023-01-05,64.15,64.35,62.3,62.33,62.33,46159549,0.0000,1.0,Semiconductors
2023-01-06,63.145,64.3,60.05,63.96,63.96,70161340,0.0000,1.0,Semiconductors
2023-01-09,66.22,69.32,65.67,67.24,67.24,69741257,0.0000,1.0,Semiconductors
2023-01-10,66.67,68.15,66.56,68.05,68.05,41149630,0.0000,1.0,Semiconductors
2023-01-11,68.39,69.13,67.2201,69.06,69.06,44470060,0.0000,1.0,Semiconductors
2023-01-12,70.07,71.65,67.18,70.8,70.8,70066161,0.0000,1.0,Semiconductors
2023-01-13,69.84,71.1,69.23,71.0,71.0,45757358,0.0000,1.0,Semiconductors
2023-01-17,70.87,72.66,70.653,71.59,71.59,42621340,0.0000,1.0,Semiconductors
2023-01-18,71.87,72.78,70.5,70.53,70.53,39538725,0.0000,1.0,Semiconductors
2023-01-19,68.975,69.2536,67.265,67.71,67.71,47189852,0.0000,1.0,Semiconductors
2023-01-20,68.01,70.13,67.45,70.07,70.07,47757593,0.0000,1.0,Semiconductors
2023-01-23,72.225,76.59,71.54,76.53,76.53,84293199,0.0000,1.0,Semiconductors
2023-01-24,73.75,75.6412,73.42,74.7,74.7,60822606,0.0000,1.0,Semiconductors
2023-01-25,72.9,75.12,72.09,74.91,74.91,49932595,0.0000,1.0,Semiconductors
2023-01-26,76.5,77.0798,74.28,75.16,75.16,49583948,0.0000,1.0,Semiconductors
2023-01-27,73.7,76.74,73.49,75.4,75.4,58118610,0.0000,1.0,Semiconductors
2023-01-30,74.23,74.64,72.4,72.45,72.45,48105243,0.0000,1.0,Semiconductors
2023-01-31,72.26,75.2,72.03,75.15,75.15,71669107,0.0000,1.0,Semiconductors
2023-02-01,78.47,85.48,77.88,84.64,84.64,152548240,0.0000,1.0,Semiconductors
2023-02-02,84.29,88.9388,83.2,88.31,88.31,97762091,0.0000,1.0,Semiconductors
2023-02-03,86.655,88.8014,85.83,86.09,86.09,66557818,0.0000,1.0,Semiconductors
2023-02-06,84.63,86.28,83.224,83.68,83.68,53008890,0.0000,1.0,Semiconductors
2023-02-07,84.32,86.25,82.52,85.91,85.91,65291914,0.0000,1.0,Semiconductors
2023-02-08,85.88,88.0,84.54,84.69,84.69,54140448,0.0000,1.0,Semiconductors
2023-02-09,85.88,86.67,82.76,83.21,83.21,46525397,0.0000,1.0,Semiconductors
2023-02-10,82.29,82.71,80.47,81.48,81.48,49332598,0.0000,1.0,Semiconductors
2023-02-13,81.57,84.15,80.9,83.13,83.13,45400008,0.0000,1.0,Semiconductors
2023-02-14,82.7,86.185,81.7672,85.95,85.95,55979653,0.0000,1.0,Semiconductors
2023-02-15,85.1,85.89,83.32,85.18,85.18,46483152,0.0000,1.0,Semiconductors
2023-02-16,82.98,83.35,80.05,80.08,80.08,57755166,0.0000,1.0,Semiconductors
2023-02-17,79.6,79.6498,77.37,78.5,78.5,47826602,0.0000,1.0,Semiconductors
2023-02-21,77.15,78.455,76.45,76.77,76.77,44045643,0.0000,1.0,Semiconductors
2023-02-22,76.93,78.1299,75.9201,76.61,76.61,50286804,0.0000,1.0,Semiconductors
2023-02-23,80.63,81.79,77.965,79.75,79.75,76391342,0.0000,1.0,Semiconductors
2023-02-24,77.75,78.81,76.94,78.09,78.09,46700007,0.0000,1.0,Semiconductors
2023-02-27,79.64,80.12,78.53,78.77,78.77,45617297,0.0000,1.0,Semiconductors
2023-02-28,77.872,80.14,77.42,78.58,78.58,44220135,0.0000,1.0,Semiconductors
2023-03-01,78.55,80.2869,77.8813,78.29,78.29,44265984,0.0000,1.0,Semiconductors
2023-03-02,77.57,80.92,76.65,80.44,80.44,60185875,0.0000,1.0,Semiconductors
2023-03-03,80.4,81.63,79.34,81.52,81.52,54536217,0.0000,1.0,Semiconductors
2023-03-06,82.03,83.2986,81.04,81.16,81.16,54541281,0.0000,1.0,Semiconductors
2023-03-07,81.07,84.85,80.665,82.11,82.11,70959009,0.0000,1.0,Semiconductors
2023-03-08,82.79,85.77,82.28,85.37,85.37,69529838,0.0000,1.0,Semiconductors
2023-03-09,85.29,87.81,83.59,84.03,84.03,79496691,0.0000,1.0,Semiconductors
2023-03-10,84.47,85.45,81.63,82.67,82.67,70273562,0.0000,1.0,Semiconductors
2023-03-13,81.39,83.83,78.515,82.01,82.01,65269120,0.0000,1.0,Semiconductors
2023-03-14,83.67,88.3,83.59,87.45,87.45,66616320,0.0000,1.0,Semiconductors
2023-03-15,86.77,90.42,86.215,89.68,89.68,86177424,0.0000,1.0,Semiconductors
2023-03-16,89.72,96.69,89.02,96.6,96.6,115980649,0.0000,1.0,Semiconductors
2023-03-17,96.66,98.75,95.9364,97.84,97.84,94080842,0.0000,1.0,Semiconductors
2023-03-20,96.3,96.94,92.9,96.81,96.81,92008949,0.0000,1.0,Semiconductors
2023-03-21,97.0,99.4646,93.64,95.93,95.93,85285333,0.0000,1.0,Semiconductors
2023-03-22,95.65,101.7,95.64,97.58,97.58,110816317,0.0000,1.0,Semiconductors
2023-03-23,100.05,102.43,98.671,100.28,100.28,84088899,0.0000,1.0,Semiconductors
2023-03-24,99.18,99.52,96.74,97.95,97.95,64743698,0.0000,1.0,Semiconductors
2023-03-27,98.02,98.93,95.425,96.61,96.61,57461354,0.0000,1.0,Semiconductors
2023-03-28,96.77,96.94,92.87,94.56,94.56,59150100,0.0000,1.0,Semiconductors
2023-03-29,96.07,96.91,94.87,96.09,96.09,55325974,0.0000,1.0,Semiconductors
